date,home_team,score,away_team
17-08-2024,Arsenal,2 - 0,Wolves
31-08-2024,Arsenal,1 - 1,Brighton
28-09-2024,Arsenal,4 - 2,Leicester
05-10-2024,Arsenal,3 - 1,Southampton
27-10-2024,Arsenal,2 - 2,Liverpool
23-11-2024,Arsenal,3 - 0,Nott'm Forest
04-12-2024,Arsenal,2 - 0,Man United
14-12-2024,Arsenal,0 - 0,Everton
27-12-2024,Arsenal,1 - 0,Ipswich
15-01-2025,Arsenal,2 - 1,Tottenham
18-01-2025,Arsenal,2 - 2,Aston Villa
02-02-2025,Arsenal,5 - 1,Man City
24-08-2024,Aston Villa,0 - 2,Arsenal
15-09-2024,Tottenham,0 - 1,Arsenal
22-09-2024,Man City,2 - 2,Arsenal
19-10-2024,Bournemouth,2 - 0,Arsenal
02-11-2024,Newcastle,1 - 0,Arsenal
10-11-2024,Chelsea,1 - 1,Arsenal
30-11-2024,West Ham,2 - 5,Arsenal
08-12-2024,Fulham,1 - 1,Arsenal
21-12-2024,Crystal Palace,1 - 5,Arsenal
01-01-2025,Brentford,1 - 3,Arsenal
04-01-2025,Brighton,1 - 1,Arsenal
25-01-2025,Wolves,0 - 1,Arsenal
15-02-2025,Leicester,0 - 2,Arsenal
24-08-2024,Aston Villa,0 - 2,Arsenal
14-09-2024,Aston Villa,3 - 2,Everton
21-09-2024,Aston Villa,3 - 1,Wolves
06-10-2024,Aston Villa,0 - 0,Man United
26-10-2024,Aston Villa,1 - 1,Bournemouth
23-11-2024,Aston Villa,2 - 2,Crystal Palace
04-12-2024,Aston Villa,3 - 1,Brentford
07-12-2024,Aston Villa,1 - 0,Southampton
21-12-2024,Aston Villa,2 - 1,Man City
30-12-2024,Aston Villa,2 - 2,Brighton
04-01-2025,Aston Villa,2 - 1,Leicester
26-01-2025,Aston Villa,1 - 1,West Ham
15-02-2025,Aston Villa,1 - 1,Ipswich
19-02-2025,Aston Villa,2 - 2,Liverpool
17-08-2024,West Ham,1 - 2,Aston Villa
31-08-2024,Leicester,1 - 2,Aston Villa
29-09-2024,Ipswich,2 - 2,Aston Villa
19-10-2024,Fulham,1 - 3,Aston Villa
03-11-2024,Tottenham,4 - 1,Aston Villa
09-11-2024,Liverpool,2 - 0,Aston Villa
01-12-2024,Chelsea,3 - 0,Aston Villa
14-12-2024,Nott'm Forest,2 - 1,Aston Villa
26-12-2024,Newcastle,3 - 0,Aston Villa
15-01-2025,Everton,0 - 1,Aston Villa
18-01-2025,Arsenal,2 - 2,Aston Villa
01-02-2025,Wolves,2 - 0,Aston Villa
25-08-2024,Bournemouth,1 - 1,Newcastle
14-09-2024,Bournemouth,0 - 1,Chelsea
30-09-2024,Bournemouth,3 - 1,Southampton
19-10-2024,Bournemouth,2 - 0,Arsenal
02-11-2024,Bournemouth,2 - 1,Man City
23-11-2024,Bournemouth,1 - 2,Brighton
05-12-2024,Bournemouth,1 - 0,Tottenham
16-12-2024,Bournemouth,1 - 1,West Ham
26-12-2024,Bournemouth,0 - 0,Crystal Palace
04-01-2025,Bournemouth,1 - 0,Everton
25-01-2025,Bournemouth,5 - 0,Nott'm Forest
01-02-2025,Bournemouth,0 - 2,Liverpool
17-08-2024,Nott'm Forest,1 - 1,Bournemouth
31-08-2024,Everton,2 - 3,Bournemouth
21-09-2024,Liverpool,3 - 0,Bournemouth
05-10-2024,Leicester,1 - 0,Bournemouth
26-10-2024,Aston Villa,1 - 1,Bournemouth
09-11-2024,Brentford,3 - 2,Bournemouth
30-11-2024,Wolves,2 - 4,Bournemouth
08-12-2024,Ipswich,1 - 2,Bournemouth
22-12-2024,Man United,0 - 3,Bournemouth
29-12-2024,Fulham,2 - 2,Bournemouth
14-01-2025,Chelsea,2 - 2,Bournemouth
18-01-2025,Newcastle,1 - 4,Bournemouth
15-02-2025,Southampton,1 - 3,Bournemouth
18-08-2024,Brentford,2 - 1,Crystal Palace
31-08-2024,Brentford,3 - 1,Southampton
